date,value
2021-01-01,29069.39
2021-01-02,29068.46
2021-01-03,29067.52
2021-01-04,29066.58
2021-01-05,29064.70
2021-01-06,29061.89
2021-01-07,29064.70
2021-01-08,29062.83
2021-01-09,29061.89
2021-01-10,29064.70
2021-01-11,29067.51
2021-01-12,29070.52
2021-01-13,29073.13
2021-01-14,29075.93
2021-01-15,29078.94
2021-01-16,29089.18
2021-01-17,29084.36
2021-01-18,29087.18
2021-01-19,29089.99
2021-01-20,29092.80
2021-01-21,29095.61
2021-01-22,29098.42
2021-01-23,29101.23
2021-01-24,29104.04
2021-01-25,29016.86
2021-01-26,29109.67
2021-01-27,29112.48
2021-01-28,29115.30
2021-01-29,29118.11
2021-01-30,29120.92
2021-01-31,29123.74
2021-02-01,29126.55
2021-02-02,29129.37
2021-02-03,29132.18
2021-02-04,29135.00
2021-02-05,29137.81
2021-02-06,29140.63
2021-02-07,29143.44
2021-02-08,29146.26
2021-02-09,29149.08
2021-02-10,29156.34
2021-02-11,29163.61
2021-02-12,29170.87
2021-02-13,29178.14
2021-02-14,29185.41
2021-02-15,29192.68
2021-02-16,29199.96
2021-02-17,29207.23
2021-02-18,29214.51
2021-02-19,29221.79
2021-02-20,29299.07
2021-02-21,29236.35
2021-02-22,29243.64
2021-02-23,29250.92
2021-02-24,29258.21
2021-02-25,29265.50
2021-02-26,29272.79
2021-02-27,29280.09
2021-02-28,29287.38
